                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.57592,                 2.7366,                0.19668,                0.49558,                 1.0121,                0.95067,                0.97004,                0.99045,                0.82235,                0.46874,                    0.5,                0.50715,                0.25512,                0.71191,                 3.9636,                0.01703,                 1.8668,                 1.1224,             0.00033008,             0.00033008,             0.00033008
                     74,                  0.566,                  2.768,                0.19612,                0.49639,                 1.0001,                  0.937,                0.99096,                0.99045,                 0.8069,                0.46821,                    0.5,                0.49295,                0.26118,                0.76248,                 3.8327,                0.02168,                 2.1657,                   1.15,             0.00031908,             0.00031908,             0.00031908
                     75,                0.53841,                 2.8869,                0.20481,                0.47438,                 1.0028,                0.95716,                      1,                0.99045,                0.84278,                0.53115,                   0.55,                0.55782,                0.25043,                0.65406,                 4.0781,                0.02017,                 2.4093,                 1.0921,             0.00030808,             0.00030808,             0.00030808
                     76,                0.54981,                 2.8504,                0.19884,                0.47298,                 1.0103,                 0.9206,                      1,                0.99045,                0.81868,                0.57058,                    0.6,                0.58401,                0.24452,                0.67467,                 3.9336,                 0.0193,                  1.625,                 1.1206,             0.00029708,             0.00029708,             0.00029708
                     77,                0.54364,                 2.8745,                0.20153,                0.47925,                0.99943,                0.93244,                      1,                0.99273,                0.83646,                0.62237,                   0.65,                0.65359,                0.25759,                0.65413,                 3.9322,                0.02627,                 1.6121,                  1.133,             0.00028608,             0.00028608,             0.00028608
                     78,                0.52636,                 2.7595,                0.19412,                 0.4601,                0.99676,                0.95385,                 0.9938,                0.99045,                0.83373,                0.58164,                    0.6,                0.56776,                0.24525,                 0.6078,                 3.9889,                0.02653,                 1.9029,                 1.0525,             0.00027508,             0.00027508,             0.00027508
                     79,                0.54446,                 2.6772,                0.20191,                0.45872,                 1.0083,                0.93143,                0.99351,                0.99273,                0.83497,                0.46724,                 0.4875,                0.49134,                0.24118,                 0.5854,                 3.9578,                 0.0294,                 2.2559,                  1.041,             0.00026408,             0.00026408,             0.00026408
                     80,                0.51799,                  2.651,                0.19236,                0.46176,                0.98051,                0.95455,                0.98496,                0.98818,                0.82417,                0.59172,                    0.6,                0.56668,                0.26709,                0.62449,                 3.9783,                0.02941,                 2.0681,                 1.0746,             0.00025309,             0.00025309,             0.00025309
                     81,                0.54074,                 2.8455,                0.20824,                0.46173,                0.99933,                0.93758,                0.97127,                0.98818,                0.83815,                0.58269,                    0.6,                0.56549,                0.24651,                0.62941,                 4.0332,                0.03787,                 2.0854,                 1.0658,             0.00024209,             0.00024209,             0.00024209
                     82,                0.50185,                  2.629,                0.19273,                0.45326,                0.97559,                0.95382,                0.95541,                0.98153,                 0.8347,                0.58187,                    0.6,                0.56227,                0.24965,                 0.6301,                 3.9139,                 0.0263,                 1.8122,                 1.0582,             0.00023109,             0.00023109,             0.00023109
                     83,                 0.5071,                 2.5906,                0.19108,                0.43501,                 0.9727,                0.94763,                 0.9929,                0.98591,                0.83593,                 0.5822,                    0.6,                0.56321,                 0.2591,                0.51037,                 4.0528,                0.02594,                 1.7989,                0.99906,             0.00022009,             0.00022009,             0.00022009
                     84,                0.52441,                 2.6348,                0.19136,                 0.4442,                0.98517,                0.95567,                0.97151,                0.98591,                0.82313,                0.64316,                   0.65,                0.64525,                0.28098,                0.62755,                 3.8172,                0.02553,                 2.0703,                 1.0614,             0.00020909,             0.00020909,             0.00020909
                     85,                0.53325,                 2.5749,                 0.2002,                 0.4684,                 1.0062,                0.94646,                0.96935,                0.98591,                0.83361,                0.63551,                   0.65,                 0.6457,                0.29052,                0.61434,                 3.9003,                0.01794,                  2.022,                 1.0771,             0.00019809,             0.00019809,             0.00019809
                     86,                 0.5181,                 2.6035,                0.19461,                0.45708,                 1.0038,                0.94238,                0.97133,                0.98818,                0.83454,                0.62157,                   0.65,                0.63598,                0.29139,                0.61009,                 3.9674,                0.02586,                 1.8145,                 1.0514,             0.00018709,             0.00018709,             0.00018709
                     87,                0.51613,                 2.5657,                0.20482,                0.45044,                0.98717,                0.95246,                 0.9661,                0.98136,                 0.8242,                0.62045,                   0.65,                0.64222,                0.27524,                0.67684,                 3.8467,                0.02715,                 2.0142,                 1.1135,             0.00017609,             0.00017609,             0.00017609
                     88,                0.50705,                 2.7255,                0.19809,                0.45191,                0.99084,                0.95527,                0.96765,                0.98591,                0.83162,                0.64294,                   0.65,                0.63275,                0.25916,                 0.6267,                 3.9024,                0.02774,                 2.2335,                 1.0928,             0.00016509,             0.00016509,             0.00016509
                     89,                0.49054,                  2.687,                0.19878,                0.41707,                0.96423,                0.95662,                0.96879,                0.98591,                0.83449,                0.64429,                   0.65,                0.64003,                0.28141,                0.60977,                 3.9256,                0.02412,                 2.5583,                  1.115,              0.0001541,              0.0001541,              0.0001541
